task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
58	9a/6e41d0	30674	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_R2_T1)	COMPLETED	0	2021-01-30 02:36:04.073	726ms	104ms	95.7%	11.7 MB	26.4 MB	8.5 MB	748 B
59	34/dd1634	30924	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_R2_T1)	COMPLETED	0	2021-01-30 02:36:04.802	717ms	23ms	66.7%	2.9 MB	3.9 MB	184.2 KB	658 B
60	ab/b07b14	31230	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T0_R2_T1)	COMPLETED	0	2021-01-30 02:36:05.523	924ms	333ms	101.5%	12.6 MB	27.9 MB	8.5 MB	64 KB
61	58/a98289	31479	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_R1_T1)	COMPLETED	0	2021-01-30 02:36:06.450	750ms	135ms	83.9%	11.8 MB	26.4 MB	8.9 MB	746 B
62	63/b5879b	31729	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_R1_T1)	COMPLETED	0	2021-01-30 02:36:07.203	975ms	369ms	98.7%	12.7 MB	27.9 MB	8.9 MB	58.8 KB
63	3d/b5b1b5	31987	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_R1_T1)	COMPLETED	0	2021-01-30 02:36:08.181	720ms	23ms	66.7%	2.8 MB	3.9 MB	183 KB	656 B
64	f0/f65348	32303	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_R2_T1)	COMPLETED	0	2021-01-30 02:36:08.904	994ms	357ms	95.9%	12.4 MB	27.9 MB	9 MB	58 KB
65	d4/3b7feb	32554	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_R2_T1)	COMPLETED	0	2021-01-30 02:36:09.900	721ms	100ms	100.0%	12.2 MB	26.4 MB	9 MB	747 B
66	0e/00dd1c	32804	MAP_BWA_MEM:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_R2_T1)	COMPLETED	0	2021-01-30 02:36:10.623	669ms	22ms	85.7%	2.7 MB	3.9 MB	183.1 KB	659 B
67	bb/1ace2c	33058	MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:36:11.295	9.3s	8.3s	150.4%	2.3 GB	17.1 GB	34.6 MB	10.5 MB
68	20/0cfa6b	34021	MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:36:20.606	9.8s	8.7s	162.2%	2.3 GB	17.1 GB	34.4 MB	10.5 MB
69	6e/caf8b3	34904	MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:36:30.442	8.9s	8.1s	163.8%	2.3 GB	17.1 GB	30.7 MB	8.6 MB
70	c8/d6f028	35779	MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:36:39.331	9.3s	8.5s	162.2%	2.3 GB	17.1 GB	30.4 MB	8.5 MB
71	8d/5a4019	36657	MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:36:48.585	8.7s	7.9s	157.1%	2.3 GB	17.1 GB	31.3 MB	8.9 MB
72	72/3c7c0d	37540	MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:36:57.336	9s	8.3s	162.9%	2.3 GB	17.1 GB	31.4 MB	8.9 MB
73	06/3432fd	38428	MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:37:06.375	925ms	234ms	58.3%	6.5 MB	26.1 MB	10.6 MB	10.7 KB
74	c2/5d6a53	38680	MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:37:07.303	766ms	116ms	104.3%	11.5 MB	26.4 MB	10.6 MB	10.5 KB
75	8e/4b828b	38927	MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:37:08.071	787ms	123ms	104.0%	11.8 MB	26.4 MB	8.7 MB	10.2 KB
76	63/5e3161	39182	MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:37:08.861	697ms	101ms	90.9%	11.8 MB	26.4 MB	8.6 MB	11.7 KB
77	8a/1ad13d	39431	MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:37:09.567	735ms	114ms	88.0%	11.9 MB	26.4 MB	9.1 MB	10.9 KB
78	04/0d134a	39680	MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:37:10.305	793ms	122ms	100.0%	11.9 MB	26.4 MB	9.1 MB	10.9 KB
