task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
242	34/763237	101006	MULTIQC_CUSTOM_PEAKS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:47:02.404	626ms	8ms	100.0%	0	0	198.2 KB	54.2 KB
244	6c/293484	101242	SUBREAD_FEATURECOUNTS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:47:03.032	767ms	164ms	88.9%	20.2 MB	326.2 MB	4.4 MB	53 KB
245	62/84ae52	101494	SUBREAD_FEATURECOUNTS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:47:03.801	801ms	197ms	100.0%	21.2 MB	326.2 MB	6.1 MB	53.3 KB
246	9b/eb0b35	101752	SUBREAD_FEATURECOUNTS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:47:04.604	831ms	201ms	102.4%	21 MB	326.2 MB	6.1 MB	53.3 KB
247	13/e749c2	102004	SUBREAD_FEATURECOUNTS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:47:05.437	787ms	165ms	100.0%	20.4 MB	326.2 MB	5.1 MB	53.2 KB
243	39/b3b131	102256	HOMER_ANNOTATEPEAKS_CONSENSUS (SPT5)	COMPLETED	0	2021-01-30 02:47:06.227	4.5s	3.9s	100.0%	271.6 MB	331.2 MB	55.4 MB	6 MB
248	98/b7a2cf	102866	PLOT_HOMER_ANNOTATEPEAKS (1)	COMPLETED	0	2021-01-30 02:47:10.747	5.6s	4.9s	70.7%	121 MB	294.2 MB	31.5 MB	1 MB
249	aa/d7e064	103498	DEEPTOOLS_COMPUTEMATRIX (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:47:16.310	1m 59s	1m 58s	186.7%	216.7 MB	639.7 MB	224 MB	65.4 MB
250	b8/d002e8	106691	DEEPTOOLS_COMPUTEMATRIX (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:49:15.171	2m 2s	2m	185.1%	215.2 MB	631.8 MB	224.8 MB	65.3 MB
251	a3/1696f0	110026	DEEPTOOLS_COMPUTEMATRIX (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:51:16.780	2m 8s	2m 7s	190.7%	218.2 MB	637.9 MB	226.3 MB	62.5 MB
252	58/068077	113435	DEEPTOOLS_COMPUTEMATRIX (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:53:24.879	2m 4s	2m 2s	182.9%	212 MB	632.3 MB	227.3 MB	62.3 MB
253	b0/a9992a	116740	DEEPTOOLS_COMPUTEMATRIX (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:55:28.533	2m 4s	2m 3s	180.1%	210.6 MB	635.6 MB	223.1 MB	63.6 MB
254	98/a3430b	120043	DEEPTOOLS_COMPUTEMATRIX (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:57:32.537	2m 13s	2m 12s	187.2%	218.1 MB	692.4 MB	224.9 MB	63.5 MB
255	e7/682080	123515	IGV	COMPLETED	0	2021-01-30 02:59:45.337	1s	74ms	75.0%	2.7 MB	3.9 MB	813.9 KB	6.4 KB
256	20/0c94fe	123840	JO_TRACKHUB	FAILED	23	2021-01-30 02:59:46.387	874ms	776ms	-	-	-	-	-
257	e7/fb200c	124110	JO_DIFFBIND_HOMER ([SPT5_T0_R1, SPT5_T0_R2, SPT5_T15_R1, SPT5_T15_R2])	COMPLETED	0	2021-01-30 02:59:47.264	1m 56s	1m 56s	101.4%	3.3 GB	4.9 GB	286.8 MB	2.7 MB
259	62/eaae85	126308	DEEPTOOLS_PLOTPROFILE (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 03:01:43.503	3.7s	3s	92.8%	215.4 MB	372.3 MB	43.6 MB	517.5 KB
258	d6/1de7df	126678	DEEPTOOLS_PLOTHEATMAP (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 03:01:47.248	12s	11.3s	100.2%	302.5 MB	445 MB	47.2 MB	2.4 MB
260	78/d7a74a	127480	GET_SOFTWARE_VERSIONS	COMPLETED	0	2021-01-30 03:01:59.219	723ms	42ms	100.0%	2.9 MB	3.9 MB	514 KB	1.6 KB
261	16/47a858	127745	DEEPTOOLS_PLOTPROFILE (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 03:01:59.944	3.4s	2.8s	99.6%	229.3 MB	372.4 MB	43.4 MB	517.6 KB
262	60/04d8b6	128113	DEEPTOOLS_PLOTHEATMAP (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 03:02:03.349	11.7s	11s	100.2%	291.1 MB	434.5 MB	47.8 MB	2.3 MB
263	ca/8f800e	128942	DEEPTOOLS_PLOTHEATMAP (SPT5_T0_R1)	COMPLETED	0	2021-01-30 03:02:15.032	10.8s	10.1s	100.2%	267.6 MB	410.6 MB	46.7 MB	1.7 MB
264	8b/6d374e	129688	DEEPTOOLS_PLOTPROFILE (SPT5_T0_R1)	COMPLETED	0	2021-01-30 03:02:25.797	3.3s	2.7s	100.6%	85 MB	228.7 MB	42.5 MB	517.2 KB
265	8c/6194cb	130077	DEEPTOOLS_PLOTHEATMAP (SPT5_T0_R2)	COMPLETED	0	2021-01-30 03:02:29.106	10.7s	10.1s	100.2%	295.9 MB	438.5 MB	46.5 MB	1.5 MB
266	c1/0a800b	130829	DEEPTOOLS_PLOTPROFILE (SPT5_T0_R2)	COMPLETED	0	2021-01-30 03:02:39.854	3.4s	2.7s	100.2%	88.5 MB	232.2 MB	42.5 MB	517.4 KB
267	61/ed8846	455	DEEPTOOLS_PLOTPROFILE (SPT5_T15_R1)	COMPLETED	0	2021-01-30 03:02:43.218	3.4s	2.8s	99.6%	85.1 MB	228.5 MB	42.9 MB	517.2 KB
268	e8/77be43	836	DEEPTOOLS_PLOTHEATMAP (SPT5_T15_R1)	COMPLETED	0	2021-01-30 03:02:46.593	11.5s	10.8s	100.1%	290.7 MB	433.6 MB	46.7 MB	1.9 MB
269	14/1a62eb	1744	DEEPTOOLS_PLOTHEATMAP (SPT5_T15_R2)	COMPLETED	0	2021-01-30 03:02:58.075	11.6s	10.9s	100.3%	285.6 MB	428.8 MB	46.5 MB	1.9 MB
270	a9/b06346	2618	DEEPTOOLS_PLOTPROFILE (SPT5_T15_R2)	COMPLETED	0	2021-01-30 03:03:09.665	3.4s	2.8s	99.8%	229.8 MB	372.7 MB	42.7 MB	517.3 KB
271	ab/b6a1ec	3014	MULTIQC (1)	COMPLETED	0	2021-01-30 03:03:13.071	1m 6s	1m 5s	98.8%	180.6 MB	420.9 MB	2.5 GB	24.1 MB
272	a4/a1648b	4860	JO_INDEX (null)	COMPLETED	0	2021-01-30 03:04:19.751	8.2s	7.4s	58.9%	209.5 MB	1 TB	36.9 MB	3.1 MB
